City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,aasiaat,68.7098,-52.8699,-10.38,70,97,8.81,GL,1701204100
268,namibe,-15.1961,12.1522,23.33,79,91,1.79,AO,1701204102
269,broome,42.2506,-75.833,-0.77,63,100,5.66,US,1701204104
270,wakkanai,45.4094,141.6739,-2.73,90,100,7.15,JP,1701204105
271,puerto maldonado,-12.6,-69.1833,27.22,83,40,1.54,PE,1701204106
272,chinsali,-10.5414,32.0816,19.98,81,92,1.14,ZM,1701204108
273,sarupathar,26.1984,93.8094,15.78,89,7,0.49,IN,1701204109
274,nimaj,26.1497,74.0,18.55,71,39,2.27,IN,1701204110
275,musoma,-1.5,33.8,20.38,81,100,3.18,TZ,1701204112
276,sile,41.1754,29.6133,14.37,54,100,3.13,TR,1701204113
277,pimenta bueno,-11.6725,-61.1936,34.0,38,84,1.49,BR,1701204114
278,satun,6.8333,100.0,24.0,90,98,2.52,TH,1701204116
279,tchibanga,-2.85,11.0333,22.89,93,98,0.15,GA,1701204118
280,navrongo,10.8956,-1.0921,32.24,30,48,1.46,GH,1701204120
281,bardai,11.65,7.2333,24.96,29,10,3.61,NG,1701204121
282,thala,35.5724,8.6703,10.3,61,53,1.83,TN,1701204122
283,yandev,7.3667,9.05,27.86,66,75,4.84,NG,1701204124
284,rantoul,40.3084,-88.1559,-2.79,67,0,4.12,US,1701204125
285,labrador city,52.9463,-66.9114,-6.05,86,40,2.06,CA,1701204126
286,nouadhibou,20.931,-17.0347,20.99,56,0,4.12,MR,1701204128
287,nema,57.5067,50.5011,-8.75,97,100,1.98,RU,1701204129
288,bulgan,48.8125,103.5347,-18.08,94,17,1.67,MN,1701204130
289,antonio enes,-16.2325,39.9086,26.33,83,10,3.9,MZ,1701204132
290,mejit,10.2753,170.8646,27.09,70,99,7.95,MH,1701204133
291,nyurba,63.2842,118.3319,-20.64,95,58,2.34,RU,1701204134
292,pavilosta,56.8879,21.1859,-2.05,70,99,2.88,LV,1701204137
293,vizinga,61.0749,50.1031,-4.1,98,100,1.31,RU,1701204138
294,myrtle grove,30.421,-87.3075,16.1,37,20,4.63,US,1701204140
295,villa gesell,-37.2639,-56.973,21.76,77,52,10.02,AR,1701204141
296,fale old settlement,-9.3852,-171.2468,28.93,70,100,6.33,TK,1701204142
